episode,reward
0,-56.880224104282476
1,-370.51955619823457
2,-222.09146130960903
3,-227.97948536939856
4,-281.2526730629834
5,-230.8164741936639
6,-163.65260096115964
7,-397.1535605914112
8,-126.12777624717489
9,-363.03790611543116
10,-247.93751138992374
11,-643.717498979864
12,-241.01679122439964
13,-319.74055522555227
14,-498.0120127497338
15,-91.5182820848777
16,-88.03081454140387
17,-134.75129527335844
18,-140.75888403371033
19,-226.43408116832921
20,-318.82974261373954
21,-110.21396381411981
22,-197.55514275606336
23,-122.25448797372206
24,-424.9182954216579
25,-155.1908331683464
26,-213.4836448079282
27,-101.6229558797607
28,-233.96269468450035
29,-94.48570687454173
30,-293.68340405483195
31,-295.2470610150761
32,-258.1994767953225
33,-82.79481176528563
34,-121.30685450861014
35,-149.03390292589899
36,-190.17512644373795
37,-276.3892826518885
38,-403.57304451054625
39,-247.85761667158278
40,-268.70475496049835
41,-136.1843576340138
42,-236.22214639615623
43,-69.74989049345447
44,-221.09765939518056
45,-206.3482008653398
46,-326.4686863874962
47,-134.97814416389417
48,-108.37813447056448
49,-79.0775353067871
50,-265.0694949951067
51,0.6380816244380156
52,-144.55846926795556
53,-248.29470600878156
54,-286.059815982778
55,-202.57692491973012
56,-133.05524455986648
57,-234.95941427179127
58,-133.3217238549757
59,-130.45047219549633
60,-224.22415591165566
61,-242.46189051284887
62,-230.7468865174759
63,-93.00167319263892
64,-64.96351279253875
65,-270.5822464399455
66,-43.69687527249937
67,-224.1511147086827
68,-206.5653387701673
69,-21.24185016168427
70,-220.077153890472
71,31.26033465936422
72,-61.66621567889803
73,-65.32681854827423
74,-59.33802141554778
75,-84.86062365873187
76,-209.55102404450568
77,-93.4989663346623
78,-34.02875118358946
79,-72.8503399873117
80,-76.01350219300812
81,-82.7941088246921
82,-202.11065034804358
83,-46.33436463379866
84,-4.923163757983275
85,27.539996965590717
86,-109.68765711503467
87,-259.06319163712897
88,-120.6690194100488
89,-23.087880148618822
90,-447.2598235582775
91,-95.48573106398219
92,-42.703439606613486
93,-84.74682476500462
94,-175.75779864379496
95,-141.13212072516913
96,-123.42340893976898
97,-193.5352969935695
98,-65.85512054967168
99,-123.95328186878459
100,-61.212339102508196
101,-52.29892864978775
102,-126.57084911681058
103,-123.62298414689545
104,-52.5001974947796
105,-44.00797083537131
106,26.25428645229458
107,-266.72376615407165
108,-65.44224402074367
109,-23.093674839894717
110,-80.00673226169246
111,-90.37129501366978
112,-244.09452776062102
113,-189.40475508068027
114,-242.91208510491435
115,-189.10613665296157
116,-33.37037466305658
117,-302.83653740925286
118,-82.90227277082647
119,-96.3553871878847
120,-105.158046273491
121,-183.7388627436104
122,-40.63264364632137
123,-18.566799054065854
