episode,reward
0,-383.0123496542875
1,-144.69032453973364
2,-96.74529009262491
3,-252.81999554166384
4,-261.25291011798265
5,-243.13934035875656
6,-689.3194283751607
7,-541.7317241894507
8,-343.2703602201393
9,-295.7135600485335
10,-506.97182233644565
11,-382.0299384170826
12,-448.8278722409329
13,-156.35363935839996
14,-194.53436760939144
15,-51.62952832477644
16,-55.20922586768627
17,-390.38316350781867
18,-228.2865241152173
19,-66.29176787585938
20,-439.93044037036566
21,-308.65141383035245
22,-566.5238774669122
23,-196.0999771559642
24,-467.11663168985183
25,-384.7403872660013
26,-417.03442481967875
27,-409.9529503886796
28,-117.18244609274058
29,-379.6685118661082
30,-231.61077665603045
31,-89.21619805309959
32,-247.56900286646965
33,-250.4565347434907
34,-188.99924256231628
35,-289.8544521733846
36,-61.34345219552333
37,-446.8696594924724
38,-170.76709201675322
39,-217.7497113084156
40,-211.04194316781735
41,-247.13568884128892
42,-220.27595405218557
43,-230.2700414773015
44,-203.8006798919314
45,-349.63044772620776
46,-366.46289125914524
47,-104.902479518845
48,-142.86069941699162
49,-503.8937947864414
50,-401.44736235585026
51,-323.5550723093032
52,-127.17434346500389
53,-219.27627888038197
54,-247.19455932439973
55,-218.52179774790665
56,-219.47829093573733
57,-476.41943385168724
58,-180.0489672019376
59,-185.8523804093907
60,-260.6738989239064
61,-248.20241429748887
62,-370.69272707036396
63,-193.98749782539267
64,-239.1490680560401
65,-202.53222965609194
66,-304.7957204690134
67,-299.93699153016263
68,-368.9946700159457
69,-262.736719392788
70,-282.8925186747359
71,-160.26038295434984
72,-226.57529079381135
73,-182.53633529459427
74,-110.58440981374258
75,-190.88995123473143
76,-351.9916677986533
77,-210.56159981258162
78,-238.29153098842306
79,-306.9726729426369
80,-179.29263219335627
81,-274.5987128483717
82,-264.2164826334101
83,-359.8343017472559
84,-245.18280508651083
85,-178.17374083752762
86,-209.69753638715474
87,-361.6634829041748
88,-273.7191184228572
89,-236.54200071366643
90,-189.03648176442138
91,-165.48496480911606
92,-284.8451684084139
93,-313.0717918114615
94,-288.6366633972169
