episode,reward
0,-114.33495405446857
1,-271.61916362263696
2,-213.67893672359295
3,-231.79772070598216
4,-248.41691843422953
5,-214.68155929372563
6,-241.6531250253461
7,-163.04316541395227
8,-494.81847202439
9,-194.92382568208973
10,-128.42532272617854
11,-286.17156752062726
12,-81.33856663198192
13,-183.84730324089836
14,-185.54218006513707
15,-74.78904811648142
16,-355.5266440934274
17,-525.701213765503
18,-289.38982145962325
19,-492.1194124646181
20,-167.34937657442515
21,-256.6999188534884
22,-468.96968161926924
23,-131.98316087769254
24,-138.3356382549486
25,-433.4800261244341
26,13.910261424728674
27,-468.5765466792527
28,-61.02926974156654
29,-490.63058013166585
30,-137.86820158850364
31,-237.67684275234404
32,-24.796943459262152
33,-232.26936843102303
34,-318.3942628322737
35,-478.5080814855882
36,-454.93039431296523
37,-207.4816644176462
38,-277.98112191560597
39,-220.31731484017044
40,-198.3089429515902
41,-168.83649948385317
42,-190.11325998686186
43,-255.95529517319915
44,-179.25982357444386
45,-351.4096709727919
46,-131.23461849966455
47,-184.28035839551478
48,-344.803848659991
49,-187.66950813760266
50,-153.07774465505184
51,-292.9534054393625
52,-334.0103217432369
53,-185.6163610912102
54,85.68427702692023
55,-295.2242910687976
56,-215.72438269097202
57,-437.17671428366293
58,-152.43810456187478
59,-297.1962996002188
60,-217.41339993539816
61,-317.60866202061345
62,-291.5602321643397
63,74.64804470164918
64,-230.7766621053009
65,-156.00141547454078
66,-56.528002547615074
67,-327.3230776170353
68,-339.6963339213894
69,-142.6131419793607
70,-436.9070201607715
71,89.17129339340738
72,-158.36829770199512
73,-362.02481639784344
74,-96.17070986479537
75,-197.46139170205606
76,-67.83404157335625
77,-91.61813855697368
78,-61.132359956166766
79,-137.7994249469299
80,-155.13200159649062
81,-96.73214413293391
82,181.60779395856417
83,-121.88826832537973
84,2.5826216854243
85,-104.44083153643886
86,-248.67221415563748
87,-280.56141568357054
88,-245.00455582309934
89,-316.53462803288744
90,-135.96536854454874
91,-230.20846509761128
92,-305.578196028273
93,-358.0417187385336
94,-312.37985805922574
95,-227.8583786528792
96,-507.8303980398477
97,-393.43061112959407
98,-483.23594267178385
99,-191.3280991829647
100,-515.0896249747827
101,-255.0701675690516
102,-223.00576341036327
103,-272.6165129326924
104,-101.28326277200999
105,-451.5489051940393
106,-121.93304771903517
107,-399.63251619686946
108,-170.6534166990178
109,-498.09789794950944
110,-241.3128894781189
111,-492.5382449319732
112,-501.1252284982568
113,-143.4510349052935
114,-179.55693365625757
115,-162.94359995110307
116,-142.10830708064708
117,111.53203419100402
118,-135.41391864023004
119,-71.77462699866041
120,-93.64767447624916
121,-142.3359508223186
122,-95.77724928382568
123,-285.33839023919006
124,-114.9357497155933
125,-419.9928243696244
126,-253.19490057593504
127,-119.89606616351396
128,-147.1544550252041
129,-66.03750360252778
130,-305.5393587646116
131,-293.3643045452514
132,210.4615405811494
133,-112.247635163012
134,-335.3666961281141
135,-389.21075404920805
136,122.47784274198847
137,-40.53025665367291
138,-250.62478867014127
139,-241.97584167781042
140,-136.8265370262671
141,-393.93390515657154
142,-143.7347437720266
143,-247.26535123942782
144,-305.49718241541905
145,123.62576211017775
146,-53.236324823153915
147,97.7241877916977
148,-41.642372950366195
149,-190.84884602519833
150,-335.3538612692869
151,-333.13525040980267
152,-192.37421889269683
153,-117.2326985379165
154,114.17149198086803
155,-256.17684562738316
156,107.81844231720243
157,-161.734049292556
158,-104.30452147975956
159,17.750273174145544
160,-445.476570883157
161,-57.29272519490568
162,134.56963792910875
163,-70.44020880281491
164,-79.36840026775016
165,-238.63681233792363
166,223.64526315929285
167,-371.7632553458546
168,202.93332549460246
169,-124.34948434757852
170,-19.92268316479924
171,-42.29884626877775
172,-306.1434038113631
173,-13.368326500517497
174,-124.20394311538796
175,-425.24386502587424
176,-270.7449115578811
177,-65.6930963546564
178,-147.67249680091794
179,-159.99704364635778
180,-331.6483213101045
181,-78.91954688702074
182,-219.5173031648806
183,-158.89222035208468
184,-129.4774239317482
185,-122.09427504277963
186,-114.7633353325443
187,-52.66048461829027
188,-68.25364231367578
189,-79.22424609642935
190,-286.9067729832278
191,-95.66181656110373
192,-77.37728928018763
193,-132.75813825024926
194,-115.01735091475099
195,-30.472421364861248
196,-190.3730328376312
197,-314.06978990350876
198,4.8999916919617075
199,-42.700263688539025
200,-5.351757784535735
201,-180.9180582249989
202,-132.82336248027258
203,-97.90555263138482
204,-139.6634857389638
205,-174.71250824546394
206,-342.5689369290601
207,-309.74128199629104
208,-198.60373779346875
209,-15.343182871247336
210,-169.12999303147956
211,-235.1615227406451
212,-77.33957344409905
213,-53.195280350322555
214,-195.73786943204345
215,-3.8644577981734187
216,-292.59093301792655
217,-31.79334748785162
218,-58.45230827541724
219,176.9136050892044
220,-293.4225350925287
221,-14.243196618555217
222,-163.6332471424583
223,12.31714567006648
224,-93.0092182326726
